country,expenditure,personnel
Albania,1.8516350164817563,2.3272187449642834
Belgium,1.268140297475035,1.004213820637671
Bulgaria,2.0899846682751666,2.341885144047226
Canada,1.3058985843618216,0.40999207170173346
Croatia,3.346982002667216,2.4913855903111073
Czechia,1.4751858371288988,0.8483935892369365
Denmark,1.4970773794653656,0.8054570061299725
Estonia,1.7109161866157914,0.9217903344861471
Finland,1.5079660351570843,1.1418021474105562
France,2.132113856240263,1.3849236613585236
Germany,1.3792681186675477,0.6882897069957206
Greece,3.057801892695928,3.640161574380015
Hungary,1.4511532626783683,1.1872683427430064
Iceland,,0.06821331132671304
Italy,1.5688160582806898,1.8031747423866695
Latvia,1.4559305878459978,0.6917265443360477
Lithuania,1.301432008579576,1.4679859206316117
Luxembourg,0.5703399422881575,0.6519198835097495
Montenegro,1.684425223994814,5.108517841696872
Netherlands,1.4983654928954941,0.648671313265934
North Macedonia,1.8097758365947703,1.9349886376130045
Norway,1.8791985132151963,1.1486569828215065
Poland,2.098446712860492,1.157234756900113
Portugal,1.5033543343742135,1.638976790442607
Romania,2.1831334946362255,2.0796673621233777
Slovak Republic,1.6536864495049655,1.0091832998024544
Slovenia,1.3452452480958523,1.2239377249565835
Spain,1.5335434587369428,1.1527035285026819
Sweden,1.5155602853699517,1.018946202068127
Turkiye,2.7835477332542804,2.684014110046916
United Kingdom,2.551230065723259,0.6614619696814147
United States,3.894051980442166,1.0485704078840565
