country,countryiso3code,date,personnel,expenditure
Albania,ALB,2024,,2.03786228936679
Albania,ALB,2023,,1.7407334644623
Albania,ALB,2022,,1.20878861551122
Albania,ALB,2021,,1.24298808396067
Albania,ALB,2020,0.646170149523773,1.29583570269739
Albania,ALB,2019,0.6280613082046,1.28080596201472
Albania,ALB,2018,0.709852516308862,1.16054478505068
Albania,ALB,2017,0.716328957359325,1.10915100558884
Albania,ALB,2016,0.677486794985322,1.10358100880452
Albania,ALB,2015,0.69224836568305,1.16230386432234
Albania,ALB,2014,0.711602554067143,1.34651599128914
Albania,ALB,2013,0.717729610146164,1.40898210141146
Albania,ALB,2012,1.13495936460743,1.48708257655216
Albania,ALB,2011,1.07122988811276,1.52826633776627
Albania,ALB,2010,1.17101598442775,1.55859189302349
Albania,ALB,2009,1.18224065272192,1.5172171395597
Albania,ALB,2008,1.20687000345415,1.98486885667765
Albania,ALB,2007,1.1865745230175,1.8207653435572
Albania,ALB,2006,0.926002720032338,1.56776908873068
Albania,ALB,2005,1.78613955703739,1.35000497056322
Albania,ALB,2004,1.68531487168875,1.38115794211088
Albania,ALB,2003,1.70479333642779,1.33684292419802
Albania,ALB,2002,2.07007907702074,1.32003449433204
Albania,ALB,2001,3.10149706583062,1.30929137475594
Albania,ALB,2000,5.07602379639956,1.24636024189216
Albania,ALB,1999,5.00151156794053,1.24921009885957
Albania,ALB,1998,4.86937100711577,1.23824256064749
Albania,ALB,1997,4.77128576608825,1.28308078036268
Albania,ALB,1996,4.87416705900703,1.37902962734156
Albania,ALB,1995,6.10854999265562,2.05358735905793
Albania,ALB,1994,4.45060682312261,2.54781906037648
Albania,ALB,1993,4.35744744750784,3.19945106674965
Albania,ALB,1992,4.25418284346963,4.6708878237371
Albania,ALB,1991,,5.79127042184833
Albania,ALB,1990,,5.8883007196812
Belgium,BEL,2024,,1.2770531266155
Belgium,BEL,2023,,1.18422875211757
Belgium,BEL,2022,,1.16246551287247
Belgium,BEL,2021,,1.04263994220028
Belgium,BEL,2020,0.468319000170156,1.00592796693225
Belgium,BEL,2019,0.50522627433126,0.887004950933882
Belgium,BEL,2018,0.618437081880088,0.892442476666613
Belgium,BEL,2017,0.635257800519125,0.886837200658898
Belgium,BEL,2016,0.675842258416885,0.898085290562566
Belgium,BEL,2015,0.727807283839235,0.911829965009217
Belgium,BEL,2014,0.75434465405373,0.966272329768275
Belgium,BEL,2013,0.755004471639817,1.0045200869807
Belgium,BEL,2012,0.624331436613073,1.0370296665755
Belgium,BEL,2011,0.697149895622022,1.04450113453523
Belgium,BEL,2010,0.729071629206606,1.09018110220613
Belgium,BEL,2009,0.822250966689485,1.16353003394252
Belgium,BEL,2008,0.815985447841059,1.22191451658895
Belgium,BEL,2007,0.823581981884575,1.09801876439276
Belgium,BEL,2006,0.860653339162825,1.05612306878486
Belgium,BEL,2005,0.799548449610728,1.09664118158572
Belgium,BEL,2004,0.8034937694638,1.15659439046667
Belgium,BEL,2003,0.928186146821759,1.22119401053058
Belgium,BEL,2002,0.899410977586311,1.22376131677303
Belgium,BEL,2001,0.914614683744117,1.28352328807131
Belgium,BEL,2000,0.890622089331435,1.35086536826323
Belgium,BEL,1999,0.955771255894877,1.39393068975137
